Brand,Category,Original Title,Quality,Lap-Pop Price,Trust-EG Price,Allewaa Price,Minimum Market Price,Suggested Selling Price,Generic Title,Demand_Score,Expert_Rating
Dell,Battery,INSPIRON5558 Battery for Dell Original Quality Replacement Genuine,Original,N/A,N/A,700,700,665,battery dell genuine inspiron5558 original quality,60,9
Generic/Unknown,Battery,Latitude 5400 5500 and Precisionatitude 5400 5500 and Precision atitude 5400 5500 and Precision 3540 4GVMP 4GVMP 4GVMP Laptop Battery,Standard/Copy,N/A,N/A,900,900,855,3540 4gvmp 4gvmp 4gvmp 5400 5400 5400 5500 5500 5500 and and and atitude battery latitude precision precision precisionatitude,60,6.5
Generic/Unknown,Battery,Pl04Xl EliteBook x360 1040 G5 and G6 Laptop Battery,Standard/Copy,N/A,N/A,1150,1150,1092.5,1040 and battery elitebook g5 g6 pl04xl x360,60,6.5
Acer,Battery,بطارية Acer AC14B8K أصلية متوافقة مع أجهزة Aspire وChromebook – سعة 48 واط/ساعة,Standard/Copy,4795,N/A,N/A,4795,4555.25,48 ac14b8k acer aspire battery أجهزة أصلية ساعة سعة متوافقة مع وchromebook واط,60,6.5
Acer,Battery,بطارية Acer AP16M5J أصلية متوافقة مع أجهزة Aspire – سعة 37 واط/ساعة,Standard/Copy,4195,N/A,N/A,4195,3985.25,37 acer ap16m5j aspire battery أجهزة أصلية ساعة سعة متوافقة مع واط,60,6.5
Acer,Battery,بطارية Acer AS16A7K أصلية متوافقة مع أجهزة Aspire وTravelMate – سعة 2800 مللي أمبير/ساعة,Standard/Copy,3695,N/A,N/A,3695,3510.25,2800 acer as16a7k aspire battery أجهزة أصلية أمبير ساعة سعة متوافقة مع مللي وtravelmate,60,6.5
Dell,Battery,بطارية Dell 07KRV أصلية متوافقة مع Latitude 5330 و5430 و5530 وPrecision 3570 – سعة 58 واط/ساعة,Standard/Copy,4495,N/A,N/A,4495,4270.25,07krv 3570 5330 58 battery dell latitude أصلية ساعة سعة متوافقة مع و5430 و5530 وprecision واط,60,6.5
Dell,Battery,بطارية Dell 0G74G أصلية متوافقة مع Latitude 5300 و5310 و7300 و7400 – سعة 42 واط/ساعة,Standard/Copy,3495,N/A,N/A,3495,3320.25,0g74g 42 5300 battery dell latitude أصلية ساعة سعة متوافقة مع و5310 و7300 و7400 واط,60,6.5
Dell,Battery,بطارية Dell 0GWV47 أصلية متوافقة مع Latitude 13 7000 Series – سعة 30 واط/ساعة,Standard/Copy,3795,N/A,N/A,3795,3605.25,0gwv47 13 30 7000 battery dell latitude series أصلية ساعة سعة متوافقة مع واط,60,6.5
Dell,Battery,بطارية Dell 266J9 أصلية متوافقة مع G3 وInspiron – سعة 51 واط/ساعة,Standard/Copy,2895,N/A,N/A,2895,2750.25,266j9 51 battery dell g3 أصلية ساعة سعة متوافقة مع وinspiron واط,60,6.5
Dell,Battery,بطارية Dell 33YDH أصلية متوافقة مع Inspiron وLatitude وVostro – سعة 56 واط/ساعة,Standard/Copy,3895,N/A,N/A,3895,3700.25,33ydh 56 battery dell inspiron أصلية ساعة سعة متوافقة مع وlatitude وvostro واط,60,6.5
Dell,Battery,بطارية Dell 357F9 / 71JF4 / 0GFJ6 / 071JF4 أصلية متوافقة مع Inspiron وG3 وG5 – سعة 74 واط/ساعة,Standard/Copy,3995,N/A,N/A,3995,3795.25,071jf4 0gfj6 357f9 71jf4 74 battery dell inspiron أصلية ساعة سعة متوافقة مع وg3 وg5 واط,60,6.5
Dell,Battery,بطارية Dell 3HWPP أصلية متوافقة مع Latitude 5401 و5410 و5411 و5501 و5510 و5511 وPrecision 3541 و3551 – سعة 68 واط/ساعة,Standard/Copy,4495,N/A,N/A,4495,4270.25,3541 3hwpp 5401 68 battery dell latitude أصلية ساعة سعة متوافقة مع و3551 و5410 و5411 و5501 و5510 و5511 وprecision واط,60,6.5
Dell,Battery,بطارية Dell 3RNFD أصلية متوافقة مع Latitude E7440 وE7450 – سعة 54 واط/ساعة,Standard/Copy,3495,N/A,N/A,3495,3320.25,3rnfd 54 battery dell e7440 latitude أصلية ساعة سعة متوافقة مع وe7450 واط,60,6.5
Dell,Battery,بطارية Dell 4GVMP أصلية متوافقة مع Latitude 5400 و5500 وPrecision 3540 وInspiron 7590 و7591 و7791 2-in-1 – سعة 68 واط/ساعة,Standard/Copy,4195,N/A,N/A,4195,3985.25,1 2 3540 4gvmp 5400 68 7590 battery dell in latitude أصلية ساعة سعة متوافقة مع و5500 و7591 و7791 وinspiron وprecision واط,60,6.5
Dell,Battery,بطارية Dell 4P8PH أصلية متوافقة مع Inspiron 15 7000 و5000 وVostro 14 – سعة 56 واط/ساعة,Standard/Copy,3895,N/A,N/A,3895,3700.25,14 15 4p8ph 56 7000 battery dell inspiron أصلية ساعة سعة متوافقة مع و5000 وvostro واط,60,6.5
Dell,Battery,بطارية Dell 6MT4T أصلية متوافقة مع Latitude وPrecision – سعة 62 واط/ساعة,Standard/Copy,3195,N/A,N/A,3195,3035.25,62 6mt4t battery dell latitude أصلية ساعة سعة متوافقة مع وprecision واط,60,6.5
Dell,Battery,بطارية Dell 7146W أصلية متوافقة مع Latitude 7400 2-in-1 و9410 2-in-1 – سعة 78 واط/ساعة,Standard/Copy,4295,N/A,N/A,4295,4080.25,1 1 2 2 7146w 7400 78 battery dell in in latitude أصلية ساعة سعة متوافقة مع و9410 واط,60,6.5
Dell,Battery,بطارية Dell 7FMXV أصلية متوافقة مع Latitude 5320 و7320 و7420 و7520 – سعة 63 واط/ساعة,Standard/Copy,4395,N/A,N/A,4395,4175.25,5320 63 7fmxv battery dell latitude أصلية ساعة سعة متوافقة مع و7320 و7420 و7520 واط,60,6.5
Dell,Battery,بطارية Dell 7VKV9 أصلية متوافقة مع Latitude 12 7275 وXPS 12 9250 – سعة 30 واط/ساعة,Standard/Copy,3695,N/A,N/A,3695,3510.25,12 12 30 7275 7vkv9 9250 battery dell latitude أصلية ساعة سعة متوافقة مع وxps واط,60,6.5
Dell,Battery,بطارية Dell 93FTF أصلية متوافقة مع Latitude 5280 و5290 و5480 و5490 و5580 و5590 وPrecision 3520 و3530 – سعة 51 واط/ساعة,Standard/Copy,3195,N/A,N/A,3195,3035.25,3520 51 5280 93ftf battery dell latitude أصلية ساعة سعة متوافقة مع و3530 و5290 و5480 و5490 و5580 و5590 وprecision واط,60,6.5
Dell,Battery,بطارية Dell 9JR2H أصلية متوافقة مع Inspiron وVostro – سعة 5200 مللي أمبير/ساعة,Standard/Copy,2300,N/A,N/A,2300,2185,5200 9jr2h battery dell inspiron أصلية أمبير ساعة سعة متوافقة مع مللي وvostro,60,6.5
Dell,Battery,بطارية Dell DJ1J0 أصلية متوافقة مع Latitude 12 7280 و7290 و13 7380 و7390 و14 7480 و7490 – سعة 42 واط/ساعة,Standard/Copy,3495,N/A,N/A,3495,3320.25,12 42 7280 7380 7480 battery dell dj1j0 latitude أصلية ساعة سعة متوافقة مع و13 و14 و7290 و7390 و7490 واط,60,6.5
Dell,Battery,بطارية Dell F3YGT أصلية متوافقة مع Latitude 7000 Series – سعة 60 واط/ساعة,Standard/Copy,3795,N/A,N/A,3795,3605.25,60 7000 battery dell f3ygt latitude series أصلية ساعة سعة متوافقة مع واط,60,6.5
Dell,Battery,بطارية Dell F62G0 أصلية متوافقة مع Inspiron 13 7000 وVostro 13 – سعة 38 واط/ساعة,Standard/Copy,3295,N/A,N/A,3295,3130.25,13 13 38 7000 battery dell f62g0 inspiron أصلية ساعة سعة متوافقة مع وvostro واط,60,6.5
Dell,Battery,بطارية Dell F7HVR أصلية متوافقة مع Inspiron 15 7537 و17 7737 و17 7746 – سعة 58 واط/ساعة,Standard/Copy,3395,N/A,N/A,3395,3225.25,15 58 7537 7737 7746 battery dell f7hvr inspiron أصلية ساعة سعة متوافقة مع و17 و17 واط,60,6.5
Dell,Battery,بطارية Dell FK0VR أصلية متوافقة مع Latitudeو Precision – سعة 58 واط/ساعة,Standard/Copy,4495,N/A,N/A,4495,4270.25,58 battery dell fk0vr latitudeو precision أصلية ساعة سعة متوافقة مع واط,60,6.5
Dell,Battery,بطارية Dell GJKNX أصلية متوافقة مع Precision وLatitude – سعة 68 واط/ساعة,Standard/Copy,3650,N/A,N/A,3650,3467.5,68 battery dell gjknx precision أصلية ساعة سعة متوافقة مع وlatitude واط,60,6.5
Dell,Battery,بطارية Dell J0PGR أصلية متوافقة مع Latitude 5285 و5290 – سعة 42 واط/ساعة,Standard/Copy,4000,N/A,N/A,4000,3800,42 5285 battery dell j0pgr latitude أصلية ساعة سعة متوافقة مع و5290 واط,60,6.5
Dell,Battery,بطارية Dell J1KND أصلية متوافقة مع Inspiron وVostro – سعة 48 واط/ساعة,Standard/Copy,2595,N/A,N/A,2595,2465.25,48 battery dell inspiron j1knd أصلية ساعة سعة متوافقة مع وvostro واط,60,6.5
Dell,Battery,بطارية Dell J60J5 أصلية متوافقة مع Latitude E7270 وE7470 – سعة 55 واط/ساعة,Standard/Copy,3195,N/A,N/A,3195,3035.25,55 battery dell e7270 j60j5 latitude أصلية ساعة سعة متوافقة مع وe7470 واط,60,6.5
Dell,Battery,بطارية Dell JK6Y6 أصلية متوافقة مع Latitude 3410 و3510 وVostro 5300 و5401 و5501 وInspiron 5300 و5401 و5408 و5501 – سعة 40 واط/ساعة,Standard/Copy,3295,N/A,N/A,3295,3130.25,3410 40 5300 5300 battery dell jk6y6 latitude أصلية ساعة سعة متوافقة مع و3510 و5401 و5401 و5408 و5501 و5501 وinspiron وvostro واط,60,6.5
Dell,Battery,بطارية Dell M5Y1K أصلية متوافقة مع Inspiron وVostro – سعة 40 واط/ساعة,Standard/Copy,3295,N/A,N/A,3295,3130.25,40 battery dell inspiron m5y1k أصلية ساعة سعة متوافقة مع وvostro واط,60,6.5
Dell,Battery,بطارية Dell MR90Y أصلية متوافقة مع Inspiron وLatitude وVostro – سعة 65 واط/ساعة,Standard/Copy,3290,N/A,N/A,3290,3125.5,65 battery dell inspiron mr90y أصلية ساعة سعة متوافقة مع وlatitude وvostro واط,60,6.5
Dell,Battery,بطارية Dell MXV9V أصلية متوافقة مع Latitude 5300 و5310 و7300 و7400 وInspiron 7300 و7306 2-in-1 (اللون الأسود) – سعة 60 واط/ساعة,Standard/Copy,3895,N/A,N/A,3895,3700.25,1 2 5300 60 7300 battery dell in latitude mxv9v أصلية الأسود اللون ساعة سعة متوافقة مع و5310 و7300 و7306 و7400 وinspiron واط,60,6.5
Dell,Battery,بطارية Dell PWKWM أصلية متوافقة مع Inspiron 14 7000 و14-7466 و14-7467 – سعة 56 واط/ساعة,Standard/Copy,3195,N/A,N/A,3195,3035.25,14 56 7000 7466 7467 battery dell inspiron pwkwm أصلية ساعة سعة متوافقة مع و14 و14 واط,60,6.5
Dell,Battery,بطارية Dell RJ40G أصلية متوافقة مع Latitude 14 5420 و15 5520 وPrecision 15 3560 – سعة 63 واط/ساعة,Standard/Copy,4295,N/A,N/A,4295,4080.25,14 15 3560 5420 5520 63 battery dell latitude rj40g أصلية ساعة سعة متوافقة مع و15 وprecision واط,60,6.5
Dell,Battery,بطارية Dell TRHFF أصلية متوافقة مع Inspiron 14 و15 وLatitude 3450 و3550 – سعة 43 واط/ساعة,Standard/Copy,3595,N/A,N/A,3595,3415.25,14 3450 43 battery dell inspiron trhff أصلية ساعة سعة متوافقة مع و15 و3550 وlatitude واط,60,6.5
Dell,Battery,بطارية Dell WDX0R أصلية متوافقة مع Inspiron 13 و14 و15 و17 وLatitude 3189 و3390 وVostro 14 و15 – سعة 42 واط/ساعة,Standard/Copy,3595,N/A,N/A,3595,3415.25,13 14 3189 42 battery dell inspiron wdx0r أصلية ساعة سعة متوافقة مع و14 و15 و15 و17 و3390 وlatitude وvostro واط,60,6.5
Dell,Battery,بطارية Dell WDX0R أصلية متوافقة مع Inspiron وLatitude وVostro – سعة 42 واط/ساعة,Standard/Copy,3695,N/A,N/A,3695,3510.25,42 battery dell inspiron wdx0r أصلية ساعة سعة متوافقة مع وlatitude وvostro واط,60,6.5
Dell,Battery,بطارية Dell WJ5R2 أصلية متوافقة مع Precision 3510 وLatitude E5570 – سعة 84 واط/ساعة,Standard/Copy,3495,N/A,N/A,3495,3320.25,3510 84 battery dell e5570 precision wj5r2 أصلية ساعة سعة متوافقة مع وlatitude واط,60,6.5
Dell,Battery,بطارية Dell WY9DX أصلية متوافقة مع Latitude 5420 و5520 وPrecision 3560 – سعة 42 واط/ساعة,Standard/Copy,3895,N/A,N/A,3895,3700.25,3560 42 5420 battery dell latitude wy9dx أصلية ساعة سعة متوافقة مع و5520 وprecision واط,60,6.5
Dell,Battery,بطارية Dell XCMRD أصلية متوافقة مع Inspiron وLatitude – سعة 40 واط/ساعة,Standard/Copy,2695,N/A,N/A,2695,2560.25,40 battery dell inspiron xcmrd أصلية ساعة سعة متوافقة مع وlatitude واط,60,6.5
Dell,Battery,بطارية Dell YRDD6 أصلية متوافقة مع Inspiron وVostro وLatitude – سعة 42 واط/ساعة,Standard/Copy,3995,N/A,N/A,3995,3795.25,42 battery dell inspiron yrdd6 أصلية ساعة سعة متوافقة مع وlatitude وvostro واط,60,6.5
Hp,Battery,بطارية HP BK03XL أصلية متوافقة مع أجهزة Pavilion x360 – سعة 41.7 واط/ساعة,Standard/Copy,3495,N/A,N/A,3495,3320.25,41 7 battery bk03xl hp pavilion x360 أجهزة أصلية ساعة سعة متوافقة مع واط,60,6.5
Hp,Battery,بطارية HP BL06XL أصلية متوافقة مع EliteBook Folio 1040 G0/G1/G2 – سعة 42 واط/ساعة,Standard/Copy,3395,N/A,N/A,3395,3225.25,1040 42 battery bl06xl elitebook folio g0 g1 g2 hp أصلية ساعة سعة متوافقة مع واط,60,6.5
Hp,Battery,بطارية HP CC03XL أصلية متوافقة مع أجهزة EliteBook وZBook – سعة 53 واط/ساعة,Standard/Copy,4195,N/A,N/A,4195,3985.25,53 battery cc03xl elitebook hp أجهزة أصلية ساعة سعة متوافقة مع وzbook واط,60,6.5
Hp,Battery,بطارية HP CI03XL أصلية متوافقة مع ProBook – سعة 48 واط/ساعة,Standard/Copy,3500,N/A,N/A,3500,3325,48 battery ci03xl hp probook أصلية ساعة سعة متوافقة مع واط,60,6.5
Hp,Battery,بطارية HP CM03XL / CM03 أصلية متوافقة مع EliteBook وZBook – سعة 50 واط/ساعة,Standard/Copy,2700,N/A,N/A,2700,2565,50 battery cm03 cm03xl elitebook hp أصلية ساعة سعة متوافقة مع وzbook واط,60,6.5
Hp,Battery,بطارية HP CS03XL أصلية متوافقة مع EliteBook وZBook – سعة 46 واط/ساعة,Standard/Copy,3195,N/A,N/A,3195,3035.25,46 battery cs03xl elitebook hp أصلية ساعة سعة متوافقة مع وzbook واط,60,6.5
Hp,Battery,بطارية HP CX03XL أصلية متوافقة مع أجهزة EliteBook x360 830 G7 وG8 – سعة 53 واط/ساعة,Standard/Copy,4195,N/A,N/A,4195,3985.25,53 830 battery cx03xl elitebook g7 hp x360 أجهزة أصلية ساعة سعة متوافقة مع وg8 واط,60,6.5
Hp,Battery,بطارية HP EV06 أصلية – متوافقة مع HP Pavilion وCompaq Presario – سعة 47 واط/ساعة,Standard/Copy,1595,N/A,N/A,1595,1515.25,47 battery ev06 hp hp pavilion presario أصلية ساعة سعة متوافقة مع وcompaq واط,60,6.5
Hp,Battery,بطارية HP FP06 أصلية متوافقة مع ProBook – سعة 47 واط/ساعة,Standard/Copy,1795,N/A,N/A,1795,1705.25,47 battery fp06 hp probook أصلية ساعة سعة متوافقة مع واط,60,6.5
Hp,Battery,بطارية HP HT03XL أصلية متوافقة مع أجهزة Pavilion وProBook – سعة 41.7 واط/ساعة,Standard/Copy,3895,N/A,N/A,3895,3700.25,41 7 battery hp ht03xl pavilion أجهزة أصلية ساعة سعة متوافقة مع وprobook واط,60,6.5
Hp,Battery,بطارية HP LA04 أصلية متوافقة مع Pavilion وProBook – سعة 2200 مللي أمبير/ساعة,Standard/Copy,1895,N/A,N/A,1895,1800.25,2200 battery hp la04 pavilion أصلية أمبير ساعة سعة متوافقة مع مللي وprobook,60,6.5
Hp,Battery,بطارية HP MU06 أصلية متوافقة مع Pavilion G4/G6/G7 وCompaq Presario CQ32/CQ42/CQ43/CQ56/CQ57/CQ62/CQ72 – سعة 47 واط/ساعة,Standard/Copy,2290,N/A,N/A,2290,2175.5,47 battery cq32 cq42 cq43 cq56 cq57 cq62 cq72 g4 g6 g7 hp mu06 pavilion presario أصلية ساعة سعة متوافقة مع وcompaq واط,60,6.5
