Brand,Category,Original Title,Quality,Lap-Pop Price,Trust-EG Price,Allewaa Price,Minimum Market Price,Suggested Selling Price,Generic Title
Generic/Unknown,Charger,شاحن 45 واط لينوفو Slim Tip – 20V 2.25A – رقم القطعة ADLX45NDC3A,Standard/Copy,595.0,N/A,N/A,595.0,565.25,2 20v 25a 45 adlx45ndc3a charger slim tip القطعة رقم لينوفو واط
Generic/Unknown,Charger,شاحن 45 واط لينوفو USB-C – 20V 2.25A – رقم القطعة 4X20M26252,Standard/Copy,595.0,N/A,N/A,595.0,565.25,2 20v 25a 45 4x20m26252 c charger usb القطعة رقم لينوفو واط
Apple/Macbook,Charger,شاحن Apple MacBook Type-C أصلي 61 واط (A1718 / MJ262LL/A),Standard/Copy,6500.0,N/A,N/A,6500.0,6175.0,61 a a1718 apple c charger macbook mj262ll type أصلي واط
Hp,Charger,شاحن HP Smart AC  90W – 19V 4.74A – مقاس 7.4×5.0mm – H6Y90UT,Standard/Copy,695.0,N/A,N/A,695.0,660.25,0mm 19v 4 4 5 7 74a 90w ac charger h6y90ut hp smart مقاس
Hp,Charger,شاحن HP Smart AC 65W – 19.5V 3.33A – دبوس أزرق – 853605‑001,Standard/Copy,1895.0,N/A,N/A,1895.0,1800.25,001 19 3 33a 5v 65w 853605 ac charger hp smart أزرق دبوس
Hp,Charger,شاحن HP Smart AC أصلي 90W – 19.5V 4.74A – 7.4×5.0mm – 924589-800,Standard/Copy,1495.0,N/A,N/A,1495.0,1420.25,0mm 19 4 4 5 5v 7 74a 800 90w 924589 ac charger hp smart أصلي
Hp,Charger,شاحن HP USB-C 65W –X7W50AA  – Power Delivery لشحن سريع,Standard/Copy,1100.0,N/A,N/A,1100.0,1045.0,65w c charger delivery hp power usb x7w50aa سريع لشحن
Hp,Charger,شاحن HP USB-C أصلي 65W – 20V 3.25A – L30757-002 – Standard Edition,Standard/Copy,2495.0,N/A,N/A,2495.0,2370.25,002 20v 25a 3 65w c charger edition hp l30757 standard usb أصلي
Hp,Charger,شاحن HP USB-C أصلي 65W – 671R2AA#ABA – إصدار Premium بكابل رمادي,Standard/Copy,2495.0,N/A,N/A,2495.0,2370.25,65w 671r2aa aba c charger hp premium usb أصلي إصدار بكابل رمادي
Hp,Charger,شاحن HP USB-C أصلي 90W – 20V 4.5A – TPN-DA08,Standard/Copy,2795.0,N/A,N/A,2795.0,2655.25,20v 4 5a 90w c charger da08 hp tpn usb أصلي
Hp,Charger,شاحن HP أصلي 150W – 19.5V 7.7A – موصل 4.5×3.0mm – لأجهزة ZBook وOMEN وPavilion Gaming – L32661-001,Standard/Copy,3500.0,N/A,N/A,3500.0,3325.0,001 0mm 150w 19 3 4 5 5v 7 7a charger gaming hp l32661 zbook أصلي لأجهزة موصل وomen وpavilion
Hp,Charger,شاحن HP أصلي 150W – 19.5V 7.7A – موصل 4.5×3.0mm – لأجهزة ZBook وOMEN – رقم 776620-001,Standard/Copy,3500.0,N/A,N/A,3500.0,3325.0,001 0mm 150w 19 3 4 5 5v 7 776620 7a charger hp zbook أصلي رقم لأجهزة موصل وomen
Hp,Charger,شاحن HP أصلي 200W – 19.5V 10.3A – موصل 4.5×3.0mm – لأجهزة OMEN وZBook – L00818-850 / L00895-003,Standard/Copy,4395.0,N/A,N/A,4395.0,4175.25,003 0mm 10 19 200w 3 3a 4 5 5v 850 charger hp l00818 l00895 omen أصلي لأجهزة موصل وzbook
Hp,Charger,شاحن HP أصلي 200W – 19.5V 10.3A – موصل 7.4×5.0mm – لأجهزة ZBook وEliteBook – 608431-001,Standard/Copy,3295.0,N/A,N/A,3295.0,3130.25,001 0mm 10 19 200w 3a 4 5 5v 608431 7 charger hp zbook أصلي لأجهزة موصل وelitebook
Hp,Charger,شاحن HP أصلي 230W – 19.5V 11.8A – موصل 7.4×5.0mm – HSTNN‑DA12,Standard/Copy,4395.0,N/A,N/A,4395.0,4175.25,0mm 11 19 230w 4 5 5v 7 8a charger da12 hp hstnn أصلي موصل
Hp,Charger,شاحن HP أصلي Original HP Charger  20V 3.25A 65W Type C | سوكيت زاوية نوع سي | ضمان 3 شهور,Original,N/A,2750.0,N/A,2750.0,2612.5,20v 25a 3 3 65w c charger charger hp hp original type أصلي زاوية سوكيت سي شهور ضمان نوع
Hp,Charger,شاحن HP أصلي Original HP Charger Adapter L00818-850 L00895-003 19.5V 10.3A 200W 4.5x3.0 - Blue | ضمان 3 شهور,Original,N/A,4850.0,N/A,4850.0,4607.5,0 003 10 19 200w 3 3a 4 5v 5x3 850 adapter blue charger charger hp hp l00818 l00895 original أصلي شهور ضمان
Hp,Charger,شاحن HP أصلي Original HP Charger Adapter M34531-005 19.5V 16.92A 330W 4.5x3.0 | ضمان 3 شهور,Original,N/A,7700.0,N/A,7700.0,7315.0,0 005 16 19 3 330w 4 5v 5x3 92a adapter charger charger hp hp m34531 original أصلي شهور ضمان
Apple/Macbook,Charger,شاحن MacBook Apple MagSafe 2 أصلي 60 واط (MD565LL/A),Standard/Copy,6500.0,N/A,N/A,6500.0,6175.0,2 60 a apple charger macbook magsafe md565ll أصلي واط
