Brand,Category,Original Title,Quality,Lap-Pop Price,Trust-EG Price,Allewaa Price,Minimum Market Price,Suggested Selling Price,Generic Title
Lenovo,Keyboard,100-15IBD Keyboard for Lenovo Original Quality Replacement Genuine,Original,N/A,N/A,400.0,400.0,380.0,100 15ibd genuine keyboard lenovo original quality
Hp,Keyboard,15-BS Keyboard for HP BR000 BS 15 BS 15T BS000 BW 15T BW 15Z BW000,Standard/Copy,N/A,N/A,300.0,300.0,285.0,15 15 15t 15t 15z br000 bs bs bs bs000 bw bw bw000 hp keyboard
Hp,Keyboard,15-J000 Keyboard for HP ENVY 15 J 15 J000 J100 Original Quality,Original,N/A,N/A,450.0,450.0,427.5,15 15 15 envy hp j j000 j000 j100 keyboard original quality
Hp,Keyboard,15-P112NE Keyboard for HP P112NE Original Quality Replacement,Original,N/A,N/A,600.0,600.0,570.0,15 hp keyboard original p112ne p112ne quality
Lenovo,Keyboard,15ISK Keyboard for Lenovo V310 Original Quality Replacement Genuine,Original,N/A,N/A,350.0,350.0,332.5,15isk genuine keyboard lenovo original quality v310
Lenovo,Keyboard,330-15IKB Spare Part for Lenovo Original Quality Replacement,Original,N/A,N/A,249.0,249.0,236.55,15ikb 330 lenovo original quality
Hp,Keyboard,4540S Keyboard for HP Original Quality Replacement Genuine,Original,N/A,N/A,350.0,350.0,332.5,4540s genuine hp keyboard original quality
Acer,Keyboard,4745G Keyboard for Acer ACER 3810 Z 5935 Original Quality Replacement,Original,N/A,N/A,300.0,300.0,285.0,3810 4745g 5935 acer acer keyboard original quality z
Acer,Keyboard,5810T Keyboard for Acer Original Quality Replacement Genuine,Original,N/A,N/A,550.0,550.0,522.5,5810t acer genuine keyboard original quality
Hp,Keyboard,640G2 Keyboard for HP AND 440G3 HP 640G2 Original Quality Replacement,Original,N/A,N/A,375.0,375.0,356.25,440g3 640g2 640g2 and hp hp keyboard original quality
Hp,Keyboard,650-G1 Keyboard for HP HP 650 Original Quality Replacement Genuine,Original,N/A,N/A,400.0,400.0,380.0,650 650 g1 genuine hp hp keyboard original quality
Generic/Unknown,Keyboard,A300 Keyboard for A300 Original Quality Replacement Genuine,Original,N/A,N/A,300.0,300.0,285.0,a300 a300 genuine keyboard original quality
