Brand,Category,Original Title,Quality,Lap-Pop Price,Trust-EG Price,Allewaa Price,Minimum Market Price,Suggested Selling Price,Generic Title
Generic/Unknown,Other,100-240V Spare Part for AC 100 Original Quality Replacement Genuine,Original,N/A,N/A,350.0,350.0,332.5,100 100 240v ac genuine original quality
Apple,Other,13-INCH Spare Part for Apple AND 13 Original Quality Replacement,Original,N/A,N/A,700.0,700.0,665.0,13 13 and apple inch original quality
Apple,Other,17-INCH Spare Part for Apple AND 17 FOR 15 Original Quality Genuine,Original,N/A,N/A,750.0,750.0,712.5,15 17 17 and apple genuine inch original quality
Lenovo,Other,20V-2 Spare Part for Lenovo Original Quality Replacement Genuine,Original,N/A,N/A,350.0,350.0,332.5,2 20v genuine lenovo original quality
Dell,Other,2H2G4 Spare Part for Dell PRO 7140 Original Quality Replacement,Original,N/A,N/A,1800.0,1800.0,1710.0,2h2g4 7140 dell original pro quality
Lenovo,Other,320-14AST Spare Part for Lenovo Original Quality Replacement,Original,N/A,N/A,1600.0,1600.0,1520.0,14ast 320 lenovo original quality
Hp,Other,350-G1 Spare Part for HP HP 350 Original Quality Replacement,Original,N/A,N/A,300.0,300.0,285.0,350 350 g1 hp hp original quality
Generic/Unknown,Other,52V2A Spare Part for Original Quality Replacement Genuine,Original,N/A,N/A,350.0,350.0,332.5,52v2a genuine original quality
Hp,Other,640G2 Spare Part for HP HP 640G2 Original Quality Replacement,Original,N/A,N/A,250.0,250.0,237.5,640g2 640g2 hp hp original quality
Dell,Other,65W-DC Spare Part for Dell Original Quality Replacement Genuine,Original,N/A,N/A,350.0,350.0,332.5,65w dc dell genuine original quality
Hp,Other,840-G1 Spare Part for HP HP 840 Original Quality Replacement,Original,N/A,N/A,200.0,200.0,190.0,840 840 g1 hp hp original quality
Msi,Other,957-17E21P-101 Spare Part for MSI A18 GE63 GE65 GE75 GL65 GP65 GP75,Standard/Copy,N/A,N/A,2400.0,2400.0,2280.0,101 17e21p 957 a18 ge63 ge65 ge75 gl65 gp65 gp75 msi
Dell,Other,AA45NM150 Spare Part for Dell DELL 45W XPS 12 Original Quality,Original,N/A,N/A,500.0,500.0,475.0,12 45w aa45nm150 dell dell original quality xps
Acer,Other,Acer ACER 5742 Spare Part for Acer ACER 5742 Original Quality,Original,N/A,N/A,250.0,250.0,237.5,5742 5742 acer acer acer acer original quality
Generic/Unknown,Other,ACER19V Spare Part for ACER19V Original Quality Replacement Genuine,Original,N/A,N/A,350.0,350.0,332.5,acer19v acer19v genuine original quality
Lenovo,Other,ADLX45YLC3A Spare Part for Lenovo Original Quality Replacement,Original,N/A,N/A,450.0,450.0,427.5,adlx45ylc3a lenovo original quality
Asus,Other,ADP-180TB Spare Part for Asus F15 G14 G15 GA401 GA502 Original,Original,N/A,N/A,1100.0,1100.0,1045.0,180tb adp asus f15 g14 g15 ga401 ga502 original
Asus,Other,ADP-33AW Spare Part for Asus Original Quality Replacement Genuine,Original,N/A,N/A,450.0,450.0,427.5,33aw adp asus genuine original quality
Asus,Other,Asus ASUS 150W Spare Part for Asus ASUS 150W Original Quality,Original,N/A,N/A,800.0,800.0,760.0,150w 150w asus asus asus asus original quality
Asus,Other,Asus NEW 19V Spare Part for Asus NEW 19V Original Quality Replacement,Original,N/A,N/A,800.0,800.0,760.0,19v 19v asus asus new new original quality
Apple,Other,Charg APPLE 96W TYP C Computer Accessory,Standard/Copy,N/A,N/A,1700.0,1700.0,1615.0,96w accessory apple c charg computer typ
Hp,Other,CI03XL Spare Part for HP CI03XL HP 640 G2 Original Quality Replacement,Original,N/A,N/A,600.0,600.0,570.0,640 ci03xl ci03xl g2 hp hp original quality
Generic/Unknown,Other,D2VF9B Spare Part for Original Quality Replacement Genuine,Original,N/A,N/A,900.0,900.0,855.0,d2vf9b genuine original quality
Dell,Other,Dell AND 5520 Spare Part for Dell AND 5520 Original Quality Genuine,Original,N/A,N/A,1200.0,1200.0,1140.0,5520 5520 and and dell dell genuine original quality
Dell,Other,Dell DELL 1015 Spare Part for Dell DELL 1015 Original Quality,Original,N/A,N/A,200.0,200.0,190.0,1015 1015 dell dell dell dell original quality
Dell,Other,Dell DELL 19 Spare Part for Dell DELL 19 Original Quality Replacement,Original,N/A,N/A,350.0,350.0,332.5,19 19 dell dell dell dell original quality
Dell,Other,Dell DELL 5558 Spare Part for Dell DELL 5558 Original Quality,Original,N/A,N/A,250.0,250.0,237.5,5558 5558 dell dell dell dell original quality
Dell,Other,Dell Spare Part for Dell Original Quality Replacement Genuine,Original,N/A,N/A,500.0,500.0,475.0,dell dell genuine original quality
Dell,Other,E5530 Spare Part for Dell E5530 Original Quality Replacement,Original,N/A,N/A,350.0,350.0,332.5,dell e5530 e5530 original quality
Dell,Other,E6500 Spare Part for Dell E6500 M4600 M4700 M6700 Original Quality,Original,N/A,N/A,800.0,800.0,760.0,dell e6500 e6500 m4600 m4700 m6700 original quality
Dell,Other,E7280 Spare Part for Dell E7280 E7290 E7380 E7390 E74800 E7490 P28S,Standard/Copy,N/A,N/A,750.0,750.0,712.5,dell e7280 e7280 e7290 e7380 e7390 e74800 e7490 p28s
Asus,Other,FX505DY-BQ002T Spare Part for Asus BQ002T FX505DY Original Quality,Original,N/A,N/A,1900.0,1900.0,1805.0,asus bq002t bq002t fx505dy fx505dy original quality
Microsoft,Other,G3HTA005H Spare Part for Microsoft Original Quality Replacement,Original,N/A,N/A,2200.0,2200.0,2090.0,g3hta005h microsoft original quality
Lenovo,Other,G50-70 Spare Part for Lenovo G50 Original Quality Replacement,Original,N/A,N/A,699.0,699.0,664.05,70 g50 g50 lenovo original quality
Asus,Other,GX701GX Spare Part for Asus DH74 DS74 GL703GM GL704GM GX701GV GX701GW,Standard/Copy,N/A,N/A,950.0,950.0,902.5,asus dh74 ds74 gl703gm gl704gm gx701gv gx701gw gx701gx
Hp,Other,HP C 20V HP 65W Spare Part for HP C 20V HP 65W Original Quality,Original,N/A,N/A,500.0,500.0,475.0,20v 20v 65w 65w c c hp hp hp hp original quality
Hp,Other,HP CB 19 Spare Part for HP CB 19 Original Quality Replacement,Original,N/A,N/A,950.0,950.0,902.5,19 19 cb cb hp hp original quality
Hp,Other,HP ENVY 13 X360 Spare Part for HP ENVY 13 X360 Original Quality,Original,N/A,N/A,700.0,700.0,665.0,13 13 envy envy hp hp original quality x360 x360
Hp,Other,HP HP 18 Spare Part for HP HP 18 Original Quality Replacement,Original,N/A,N/A,350.0,350.0,332.5,18 18 hp hp hp hp original quality
Hp,Other,HP PRO 13 X360 Spare Part for HP PRO 13 X360 Original Quality,Original,N/A,N/A,750.0,750.0,712.5,13 13 hp hp original pro pro quality x360 x360
Hp,Other,HP Spare Part for HP Original Quality Replacement Genuine,Original,N/A,N/A,450.0,450.0,427.5,genuine hp hp original quality
Hp,Other,HSTNN-LA25 Spare Part for HP LA25 Original Quality Replacement,Original,N/A,N/A,600.0,600.0,570.0,hp hstnn la25 la25 original quality
Lenovo,Other,Lenovo Spare Part for Lenovo Original Quality Replacement Genuine,Original,N/A,N/A,350.0,350.0,332.5,genuine lenovo lenovo original quality
Msi,Other,MS-16J9 Spare Part for MSI GF62 Original Quality Replacement,Original,N/A,N/A,800.0,800.0,760.0,16j9 gf62 ms msi original quality
Msi,Other,MSI GF63 GF75 Spare Part for MSI GF63 GF75 Original Quality Genuine,Original,N/A,N/A,850.0,850.0,807.5,genuine gf63 gf63 gf75 gf75 msi msi original quality
Msi,Other,MSI GP75 Spare Part for MSI GP75 Original Quality Replacement,Original,N/A,N/A,850.0,850.0,807.5,gp75 gp75 msi msi original quality
Msi,Other,MSI GS60 تاتش باد Touchpad Track | ضمان 3 شهور,Standard/Copy,N/A,1500.0,N/A,1500.0,1425.0,3 gs60 msi touchpad track باد تاتش شهور ضمان
Dell,Other,N5010 Spare Part for Dell M5010 M5030 N4010 N4050 N4110 N5010 N5030,Standard/Copy,N/A,N/A,550.0,550.0,522.5,dell m5010 m5030 n4010 n4050 n4110 n5010 n5010 n5030
Samsung,Other,Samsung Spare Part for Samsung Original Quality Replacement Genuine,Original,N/A,N/A,350.0,350.0,332.5,genuine original quality samsung samsung
Generic/Unknown,Other,Spare Part Spare Part for Original Quality Replacement Genuine,Original,N/A,N/A,230.0,230.0,218.5,genuine original quality
Hp,Other,TE03XL Spare Part for HP TE03XL Original Quality Replacement,Original,N/A,N/A,950.0,950.0,902.5,hp original quality te03xl te03xl
Lenovo,Other,THINKPAD170W Spare Part for Lenovo P50 P51 P52 P53 P70 P71 P73 T540P,Standard/Copy,N/A,N/A,975.0,975.0,926.25,lenovo p50 p51 p52 p53 p70 p71 p73 t540p thinkpad170w
Toshiba,Other,Toshiba A200 A300 A350 A500 FOR 3534 L200 L300 L400 L450 L500 M200,Standard/Copy,N/A,N/A,500.0,500.0,475.0,3534 a200 a300 a350 a500 l200 l300 l400 l450 l500 m200 toshiba
Toshiba,Other,Toshiba C650 Spare Part for Toshiba C650 Original Quality Replacement,Original,N/A,N/A,200.0,200.0,190.0,c650 c650 original quality toshiba toshiba
Asus,Other,TP550L Spare Part for Asus TP550L Original Quality Replacement,Original,N/A,N/A,900.0,900.0,855.0,asus original quality tp550l tp550l
Hp,Other,TPN-DA10 Spare Part for HP DA10 ENVY 15 L00818 Original Quality,Original,N/A,N/A,1000.0,1000.0,950.0,15 da10 da10 envy hp l00818 original quality tpn
Msi,Other,TRIDENT3 Spare Part for MSI Original Quality Replacement Genuine,Original,N/A,N/A,2900.0,2900.0,2755.0,genuine msi original quality trident3
Lenovo,Other,Y7000 Spare Part for Lenovo P51 P52 P53 P70 P71 P72 P73 Y540 Y545,Standard/Copy,N/A,N/A,1100.0,1100.0,1045.0,lenovo p51 p52 p53 p70 p71 p72 p73 y540 y545 y7000
Lenovo,Other,Z5170 Spare Part for Lenovo Z5170 Original Quality Replacement,Original,N/A,N/A,350.0,350.0,332.5,lenovo original quality z5170 z5170
Asus,Other,أسوس Asus ROG Strix GL702 تاتش باد Touchpad Track | ضمان 3 شهور,Standard/Copy,N/A,1750.0,N/A,1750.0,1662.5,3 asus gl702 rog strix touchpad track أسوس باد تاتش شهور ضمان
Asus,Other,تاتش باد أصلي Asus متوافق مع ROG Strix GL702 – Touchpad Track – رقم القطعة:GL702-2,Standard/Copy,1495.0,N/A,N/A,1495.0,1420.25,2 asus gl702 gl702 rog strix touchpad track أصلي القطعة باد تاتش رقم متوافق مع
Asus,Other,تاتش باد أصلي Asus متوافق مع TP301 – Touchpad Track board – رقم القطعة: 04060-00750000,Standard/Copy,1195.0,N/A,N/A,1195.0,1135.25,00750000 04060 asus board touchpad tp301 track أصلي القطعة باد تاتش رقم متوافق مع
Dell,Other,"تاتش باد أصلي – أسود أحمر – Dell 15G PRO G7 7559, 3579, 7567, 7577, G5 5587, 5588 – Touchpad Click Board – رقم القطعة: 043WX",Standard/Copy,1695.0,N/A,N/A,1695.0,1610.25,043wx 15g 3579 5587 5588 7559 7567 7577 board click dell g5 g7 pro touchpad أحمر أسود أصلي القطعة باد تاتش رقم
Dell,Other,تاتش باد ديل - اسود أحمر - DELL 15G PRO G7 7559 3579 7567 7577 G5 5587 5588 Touchpad Click board | ضمان 3 شهور,Standard/Copy,N/A,2050.0,N/A,2050.0,1947.5,15g 3 3579 5587 5588 7559 7567 7577 board click dell g5 g7 pro touchpad أحمر اسود باد تاتش ديل شهور ضمان
