Brand,Category,Original Title,Quality,Lap-Pop Price,Trust-EG Price,Allewaa Price,Minimum Market Price,Suggested Selling Price,Generic Title
Generic/Unknown,Storage,أوسكو أم ساتا 512 جيجا OSCOO mSATA SSD 512gb OM600 up to 550mb/s read | ضمان سنه,Standard/Copy,N/A,3100.0,N/A,3100.0,2945.0,512 512gb 550mb msata om600 oscoo read s ssd to up أم أوسكو جيجا ساتا سنه ضمان
Generic/Unknown,Storage,اس كيه هينكس 512 جيجا 2230 ام2 SKhynix NVMe 2230 Gen PCIe 4x4 512gb 3967/2167 - HFS512GEJ3X108N | ضمان سنه,Standard/Copy,N/A,4600.0,N/A,4600.0,4370.0,2167 2230 2230 3967 4x4 512 512gb gen hfs512gej3x108n nvme pcie skhynix اس ام2 جيجا سنه ضمان كيه هينكس
Dell,Storage,حامل هارد داخلي / كادي ديل أصلي Hard Drive Caddy Carrier Dell Vostro 3500 Inspiron 3580 5570 internal holder | ضمان 3 شهور,Standard/Copy,N/A,500.0,N/A,500.0,475.0,3 3500 3580 5570 caddy carrier dell drive hard holder inspiron internal vostro أصلي حامل داخلي ديل شهور ضمان كادي هارد
Dell,Storage,"حامل هارد داخلي / كادي ديل أصلي – Hard Drive Caddy Carrier – Dell Vostro 3500, Inspiron 3580, 5570 – رقم القطعة: D6J2T",Standard/Copy,495.0,N/A,N/A,495.0,470.25,3500 3580 5570 caddy carrier d6j2t dell drive hard inspiron vostro أصلي القطعة حامل داخلي ديل رقم كادي هارد
Lenovo,Storage,حامل هارد داخلي / كادي لينوفو أصلي Hard Drive Caddy Carrier Lenovo IdeaPad 3 15s am1jv000 | ضمان 3 شهور,Standard/Copy,N/A,500.0,N/A,500.0,475.0,15s 3 3 am1jv000 caddy carrier drive hard ideapad lenovo أصلي حامل داخلي شهور ضمان كادي لينوفو هارد
Lenovo,Storage,حامل هارد داخلي / كادي لينوفو أصلي – Hard Drive Caddy Carrier – Lenovo IdeaPad 3 15s – رقم القطعة: AM1JV000500,Standard/Copy,350.0,N/A,N/A,350.0,332.5,15s 3 am1jv000500 caddy carrier drive hard ideapad lenovo أصلي القطعة حامل داخلي رقم كادي لينوفو هارد
Dell,Storage,"دعامة تثبيت ديسك M.2 SSD – Dell G15 5510, 5511, 5521 – رقم القطعة: 0X8MY9",Standard/Copy,795.0,N/A,N/A,795.0,755.25,0x8my9 2 5510 5511 5521 dell g15 m ssd القطعة تثبيت دعامة ديسك رقم
Generic/Unknown,Storage,ديسك 128 جيجا اس اس دي هيكفيجن Hikvision E100 SSD 128G | ضمان سنه,Standard/Copy,N/A,590.0,N/A,590.0,560.5,128 128g e100 hikvision ssd اس اس جيجا دي ديسك سنه ضمان هيكفيجن
Generic/Unknown,Storage,ديسك 128 جيجا ام 2 ان في ام اي من هيكفيجن  Hikvision Desire PCIe NVMe M.2 HS-SSD/128GB | ضمان سنة,Standard/Copy,N/A,1800.0,N/A,1800.0,1710.0,128 128gb 2 2 desire hikvision hs m nvme pcie ssd ام ام ان اي جيجا ديسك سنة ضمان في من هيكفيجن
Generic/Unknown,Storage,ديسك 256 جيجا ام 2 اس اس دي من هيكفيجن M.2 SSD 256GB Hikvision HS-SSD-E100N 2280 | ضمان سنة,Standard/Copy,N/A,1900.0,N/A,1900.0,1805.0,2 2 2280 256 256gb e100n hikvision hs m ssd ssd اس اس ام جيجا دي ديسك سنة ضمان من هيكفيجن
Generic/Unknown,Storage,ديسك 512 جيجا ام 2 اس اس دي من هيكفيجن  Hikvision M.2-HS-SSD-E100N/512GB | ضمان سنة,Standard/Copy,N/A,2650.0,N/A,2650.0,2517.5,2 2 512 512gb e100n hikvision hs m ssd اس اس ام جيجا دي ديسك سنة ضمان من هيكفيجن
Samsung,Storage,ديسك اس اس دي سامسونج 1 تيرا - Samsung 870 QVO SSD 1tb MZ-77Q1T0BW 560mb read speed 530mb write speed | ضمان سنة,Standard/Copy,N/A,4600.0,N/A,4600.0,4370.0,1 1tb 530mb 560mb 77q1t0bw 870 mz qvo read samsung speed speed ssd write اس اس تيرا دي ديسك سامسونج سنة ضمان
Generic/Unknown,Storage,ديسك اس اس دي كروشال 1 تيرا - Crucial SSD 1000GB CT1000BX500SSD1 2.5 | ضمان سنه,Standard/Copy,N/A,4300.0,N/A,4300.0,4085.0,1 1000gb 2 5 crucial ct1000bx500ssd1 ssd اس اس تيرا دي ديسك سنه ضمان كروشال
